Age,Gender,BusinessTravelFrequency,DistanceFromHome,EmpEducationLevel,EmpEnvironmentSatisfaction,EmpHourlyRate,EmpJobInvolvement,EmpJobLevel,EmpJobSatisfaction,NumCompaniesWorked,OverTime,EmpLastSalaryHikePercent,EmpRelationshipSatisfaction,TotalWorkExperienceInYears,TrainingTimesLastYear,EmpWorkLifeBalance,ExperienceYearsAtThisCompany,ExperienceYearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,Attrition,EducationBackground_Life Sciences,EducationBackground_Marketing,EducationBackground_Medical,EducationBackground_Other,EducationBackground_Technical Degree,MaritalStatus_Married,MaritalStatus_Single,EmpDepartment_Development,EmpDepartment_Finance,EmpDepartment_Human Resources,EmpDepartment_Research & Development,EmpDepartment_Sales,EmpJobRole_Data Scientist,EmpJobRole_Delivery Manager,EmpJobRole_Developer,EmpJobRole_Finance Manager,EmpJobRole_Healthcare Representative,EmpJobRole_Human Resources,EmpJobRole_Laboratory Technician,EmpJobRole_Manager,EmpJobRole_Manager R&D,EmpJobRole_Manufacturing Director,EmpJobRole_Research Director,EmpJobRole_Research Scientist,EmpJobRole_Sales Executive,EmpJobRole_Sales Representative,EmpJobRole_Senior Developer,EmpJobRole_Senior Manager R&D,EmpJobRole_Technical Architect,EmpJobRole_Technical Lead,PerformanceRating
28,1,1,7,3,3,55,3,2,1,0,0,14,4,0.17857142857142855,5,3,0.2,2,1,3,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3
25,0,2,4,2,2,99,2,2,4,1,1,11,2,0.17857142857142855,3,3,0.25,4,1,3,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2
25,0,2,1,3,4,40,3,1,2,1,0,18,4,0.07142857142857142,3,2,0.1,2,2,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3
31,1,2,5,3,1,51,3,2,3,1,0,19,3,0.21428571428571427,3,3,0.25,2,0,2,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4
30,1,2,2,1,3,72,3,1,2,1,0,18,1,0.03571428571428571,3,3,0.05,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3
45,1,2,7,3,2,59,3,3,1,2,0,17,3,0.8928571428571428,2,3,0.05,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
32,1,2,2,1,3,36,3,2,2,0,1,13,1,0.14285714285714285,3,2,0.15000000000000002,2,1,2,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3
39,1,1,20,3,3,83,3,2,4,2,0,18,4,0.25,6,3,0.1,1,2,2,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3
33,1,2,3,2,4,57,3,1,2,3,1,11,3,0.25,4,4,0.2,3,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3
24,0,0,11,2,1,96,4,2,3,0,0,18,4,0.17857142857142855,5,2,0.2,2,1,3,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
19,1,2,9,2,3,54,3,1,1,1,0,25,3,0.03571428571428571,4,3,0.05,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,4
32,0,0,15,4,3,34,3,2,4,5,0,18,2,0.3214285714285714,6,3,0.25,1,1,2,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3
58,0,2,23,4,4,94,3,3,4,1,0,12,4,0.3571428571428571,3,2,0.25,10,15,6,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
40,0,1,11,3,4,73,3,2,3,1,0,11,1,0.3571428571428571,2,4,0.5,9,9,4,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3
34,1,0,23,4,2,72,3,2,3,0,0,20,3,0.3571428571428571,2,3,0.45,5,8,7,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2
54,0,2,19,4,4,95,3,2,1,9,1,11,2,0.3214285714285714,4,3,0.25,3,1,4,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
36,0,2,1,3,3,35,3,2,2,0,0,15,1,0.3571428571428571,2,3,0.45,7,0,5,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
60,0,2,7,3,1,41,3,5,1,5,0,11,4,0.3571428571428571,5,1,0.25,8,11,10,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
43,1,0,9,3,1,52,3,1,3,4,0,13,3,0.25,2,2,0.15000000000000002,2,1,2,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2
29,1,2,3,4,2,93,2,3,3,1,0,18,3,0.3571428571428571,2,3,0.5,2,0,7,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
38,1,0,2,3,1,100,3,1,2,5,0,13,4,0.46428571428571425,3,3,0.55,10,3,8,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2
36,1,0,15,4,4,88,1,2,4,1,0,24,1,0.5357142857142857,4,2,0.75,12,11,11,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4
44,0,2,1,4,1,50,2,2,3,4,0,11,2,0.3571428571428571,1,4,0.1,2,0,2,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3
40,0,1,26,2,3,92,2,2,4,3,1,13,4,0.5714285714285714,3,1,0.05,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3
31,1,0,3,2,3,48,3,1,1,1,1,13,4,0.14285714285714285,3,4,0.2,2,2,3,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3
30,1,2,20,3,3,85,3,2,1,0,0,15,3,0.25,1,2,0.30000000000000004,2,0,2,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3
27,0,2,4,3,2,76,3,1,3,1,0,19,3,0.03571428571428571,2,3,0.05,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
36,0,2,2,4,4,73,3,2,2,4,1,22,4,0.5357142857142857,2,3,0.05,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,4
38,1,1,10,1,3,66,3,1,3,0,0,17,2,0.10714285714285714,0,2,0.1,1,0,2,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3
39,0,2,1,4,3,96,3,1,3,7,0,14,3,0.25,1,3,0.15000000000000002,2,1,2,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
31,0,2,7,4,3,39,3,3,4,1,1,14,3,0.39285714285714285,2,2,0.55,9,4,10,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
58,1,2,10,4,4,37,3,4,3,0,0,13,3,0.3571428571428571,1,2,0.25,10,1,8,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3
19,0,0,10,3,1,96,2,1,2,1,1,25,2,0.03571428571428571,2,4,0.05,1,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,4
44,1,2,8,4,1,62,4,1,4,2,1,24,3,0.3571428571428571,2,2,0.15000000000000002,2,0,2,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
39,1,1,1,1,2,52,3,5,3,1,1,14,3,0.75,3,3,0.25,8,1,6,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2
34,1,1,7,3,1,66,1,2,3,1,1,24,4,0.3214285714285714,3,3,0.45,7,0,6,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
34,0,2,8,2,2,96,3,2,3,3,0,11,4,0.3571428571428571,2,3,0.25,1,4,3,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
35,1,2,9,4,3,97,2,2,2,9,0,19,3,0.3571428571428571,5,3,0.05,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
